Zipcode,Household_Income,Income_per_Capita,Population
91345,75969.0,25259.0,19205.0
91356,74561.0,48629.0,30804.0
91402,42857.0,17373.0,70686.0
91436,149423.0,87458.0,15070.0
91501,70326.0,37341.0,20300.0
91605,47000.0,21039.0,52210.0
91723,64583.0,27741.0,18875.0
91739,105221.0,38907.0,39803.0
91740,82447.0,32701.0,26115.0
91744,66278.0,19111.0,87240.0
91746,68254.0,19081.0,30708.0
91750,86352.0,39330.0,33836.0
91759,52250.0,37331.0,374.0
91762,56881.0,21103.0,60699.0
94062,158269.0,90802.0,27757.0
94080,96927.0,39961.0,67597.0
94114,155551.0,105246.0,34754.0
94402,155078.0,79560.0,25764.0
94519,85906.0,35466.0,20121.0
94563,208640.0,107686.0,19341.0
94520,57252.0,26531.0,38568.0
94538,106139.0,41897.0,68111.0
94559,73408.0,38733.0,27523.0
94578,58120.0,29062.0,41059.0
94580,90946.0,32281.0,29942.0
92602,105433.0,46131.0,26044.0
92661,106673.0,98260.0,3225.0
92672,81347.0,51284.0,34110.0
92673,147747.0,62635.0,30927.0
92823,144325.0,52094.0,4721.0
92835,102929.0,52567.0,23867.0
92840,68233.0,24564.0,55186.0
92881,98861.0,37523.0,33996.0
92310,53333.0,20133.0,9086.0
92314,51752.0,27208.0,11361.0
92321,62171.0,27874.0,1166.0
92054,60017.0,32014.0,42173.0
92309,38750.0,14382.0,633.0
92311,42409.0,19801.0,33612.0
92339,60625.0,29435.0,1185.0
95129,144333.0,60422.0,39828.0
95203,41452.0,20824.0,15775.0
95205,35544.0,13793.0,38544.0
95641,36932.0,26016.0,1548.0
95642,54004.0,32330.0,6826.0
95648,81267.0,37312.0,52394.0
95661,83289.0,42736.0,31327.0
95670,64784.0,32965.0,54648.0
95683,107395.0,51501.0,6279.0
95688,88053.0,39146.0,37227.0
95701,71058.0,34395.0,806.0
95715,50250.0,28709.0,91.0
95776,77699.0,29937.0,23375.0
95814,35264.0,35600.0,11340.0
95832,44811.0,15591.0,11518.0
95837,242557.0,100901.0,305.0
95612,79750.0,36920.0,1078.0
95614,97407.0,41632.0,3961.0
95636,49981.0,25916.0,1087.0
95675,37772.0,15782.0,607.0
95685,61270.0,34963.0,4711.0
95687,81586.0,32534.0,68069.0
95722,98295.0,48152.0,4822.0
95735,151250.0,86110.0,10.0
95747,103895.0,43231.0,65335.0
95820,50031.0,23660.0,35477.0
95827,56064.0,26341.0,21185.0
95903,45250.0,19183.0,1630.0
95916,32273.0,18111.0,1216.0
95945,46771.0,31529.0,25519.0
95954,47563.0,23299.0,13495.0
95962,97523.0,45506.0,1278.0
95969,48717.0,30356.0,27967.0
92056,77751.0,35015.0,53845.0
95971,49614.0,27095.0,6254.0
95977,60683.0,27908.0,1617.0
95986,58214.0,27525.0,53.0
